Traffic Volume Count Location  Address,Street,Latitude,Longitude,Location,Vehicle Volume By Each Direction of Traffic
1222 West,95th Street,41.721324,-87.653942,"(41.721324, -87.653942)",East Bound: 17200 / West Bound: 15700
948 West,95th Street,41.721409,-87.647429,"(41.721409, -87.647429)",East Bound: 14900 / West Bound: 14200
305 West,95th Street,41.721622,-87.631298,"(41.721622, -87.631298)",East Bound: 15600 / West Bound: 14300
202 West,95th Street,41.721659,-87.628777,"(41.721659, -87.628777)",East Bound: 17200 / West Bound: 16700
206 East,95th Street,41.721813,-87.618662,"(41.721813, -87.618662)",East Bound: 16400 / West Bound: 14000
1057 East,95th Street,41.722153,-87.597339,"(41.722153, -87.597339)",East Bound: 11500 / West Bound: 10500
2097 East,95th Street,41.722499,-87.572943,"(41.722499, -87.572943)",East Bound: 15300 / West Bound: 16800
3502 East,95th Street,41.722916,-87.538794,"(41.722916, -87.538794)",East Bound: 8600 / West Bound: 8200
537 West,103rd Street,41.706991,-87.63698,"(41.706991, -87.63698)",East Bound: 11000 / West Bound: 7700
112 West,103rd Street,41.707125,-87.626548,"(41.707125, -87.626548)",East Bound: 11100 / West Bound: 7500
235 East,103rd St,41.70726,-87.617296,"(41.70726, -87.617296)",East Bound: 12300 / West Bound: 9400
907 East,103rd St,41.707533,-87.600985,"(41.707533, -87.600985)",East Bound: 10200 / West Bound: 7600
7141 South,Chicago Ave,41.764998,-87.60436,"(41.764998, -87.60436)",North Bound: 10000 / South Bound: 9100
2230 West,Garfield Blvd,41.793839,-87.681286,"(41.793839, -87.681286)",East Bound: 14300 / West Bound: 14500
1848 West,Garfield Blvd,41.793942,-87.671875,"(41.793942, -87.671875)",East Bound: 16000 / West Bound: 17200
226 East,Garfield Blvd,41.794746,-87.619558,"(41.794746, -87.619558)",East Bound: 17100 / West Bound: 14700
120 West,Garfield Blvd,41.794582,-87.629567,"(41.794582, -87.629567)",East Bound: 20200 / West Bound: 18500
1359 South,Loomis St,41.863965,-87.661484,"(41.863965, -87.661484)",North Bound: 2300 / South Bound: 1900
1905 South,Loomis St,41.855898,-87.661264,"(41.855898, -87.661264)",North Bound: 2300 / South Bound: 3000
5038 South,Loomis St,41.80202,-87.659934,"(41.80202, -87.659934)",North Bound: 1000 / South Bound: 1000
5710 South,Loomis St,41.790122,-87.65963,"(41.790122, -87.65963)",North Bound: 1700 / South Bound: 1800
6628 South,Loomis St,41.773201,-87.659191,"(41.773201, -87.659191)",North Bound: 2500 / South Bound: 3000
6732 South,Loomis St,41.77126,-87.659138,"(41.77126, -87.659138)",North Bound: 2700 / South Bound: 3200
7807 South,Loomis St,41.752036,-87.658628,"(41.752036, -87.658628)",North Bound: 3000 / South Bound: 3600
8210 South,Loomis St,41.744631,-87.658435,"(41.744631, -87.658435)",North Bound: 2500 / South Bound: 3000
1031 South,Racine Ave,41.86852,-87.656729,"(41.86852, -87.656729)",North Bound: 6400 / South Bound: 4300
1340 South,Racine Ave,41.864029,-87.656597,"(41.864029, -87.656597)",North Bound: 2500 / South Bound: 2900
3538 South,Racine Ave,41.829325,-87.655686,"(41.829325, -87.655686)",North Bound: 1100 / South Bound: 1500
